Country,iso_alpha,Fully Vaccinated Percentage,Vaccinated Percentage,“Doses per 100”,Total Dose
Honduras,HND,0.6,4.0,4.6,447023
Pakistan,PAK,1.2,3.4,4.4,9559910
Togo,TGO,0.9,3.4,4.3,347246
Ghana,GHA,1.2,2.8,4.0,1228216
Guatemala,GTM,0.8,3.1,3.9,647339
Namibia,NAM,0.5,3.3,3.9,96433
Angola,AGO,1.4,2.4,3.8,1222630
Ukraine,UKR,0.5,3.2,3.7,1661410
Taiwan,TWN,0.0,3.4,3.4,799129
Senegal,SEN,0.4,2.9,3.3,545915
Egypt,EGY,0.5,2.8,3.3,3340216
Rwanda,RWA,0.4,2.8,3.2,400096
Eswatini,SWZ,0.0,3.1,3.1,35227
Guinea,GIN,0.7,2.3,3.0,384974
South Africa,ZAF,0.0,0.0,2.9,1690026
Venezuela,VEN,0.5,2.1,2.6,739962
Ivory Coast,CIV,0.0,2.6,2.6,662848
Nicaragua,NIC,0.0,2.6,2.6,167500
Solomon Islands,SLB,0.0,2.5,2.5,17000
Djibouti,DJI,0.9,1.3,2.2,21357
Kyrgyzstan,KGZ,0.7,1.4,2.1,135578
Kenya,KEN,0.1,1.9,2.0,1059117
Malawi,MWI,0.0,2.0,2.0,369674
Gambia,GMB,0.4,1.3,1.7,40801
Lesotho,LSO,0.0,1.7,1.7,36759
Ethiopia,ETH,0.0,0.0,1.7,1920676
Uganda,UGA,0.0,1.7,1.7,757664
Afghanistan,AFG,0.4,1.3,1.7,641295
Armenia,ARM,0.0,1.6,1.6,46503
Iraq,IRQ,0.4,1.1,1.6,613840
Gabon,GAB,0.5,1.0,1.5,32105
Vietnam,VNM,0.1,1.4,1.5,1411548
Mozambique,MOZ,0.2,1.1,1.3,394930
Liberia,LBR,0.0,1.3,1.3,64129
Sierra Leone,SLE,0.2,1.0,1.1,88523
Sudan,SDN,0.2,1.0,1.1,483520
Nigeria,NGA,0.1,1.0,1.1,2225765
Republic of the Congo,COD,0.0,0.0,1.1,57613
Tajikistan,TJK,0.1,0.9,1.0,97290
Mauritania,MRT,0.2,0.8,1.0,44628
Guinea-Bissau,GNB,0.0,1.0,1.0,18706
Somalia,SOM,0.1,0.8,0.9,143379
Zambia,ZMB,0.0,0.8,0.8,147115
Mali,MLI,0.2,0.6,0.8,157129
Niger,NGA,0.0,0.7,0.8,180987
Yemen,YEM,0.0,0.8,0.8,221380
Turkmenistan,TKM,0.2,0.5,0.7,41993
Central African Republic,CAF,0.0,0.5,0.6,26541
Papua New Guinea,PNG,0.0,0.4,0.4,38176
Syria,SYR,0.0,0.4,0.4,71519
Madagascar,MDG,0.0,0.4,0.4,97300
Cameroon,CMR,0.1,0.3,0.3,86451
Vanuatu,VUT,0.0,0.3,0.3,860
Benin,BEN,0.0,0.2,0.2,26624
South Sudan,SSD,0.0,0.1,0.1,11889
Burkina Faso,BFA,0.0,0.0,0.0,7881
Congo,COG,0.0,0.0,0.0,31871
Chad,TCD,0.0,0.0,0.0,5324
